N,Modelo,Marca,Ocurrencia marca,Dual Sim,Color,5G,RAM (GB),ROM (GB),Precio 
310,Realme C51  ,realme,58,1,verde,0,4,128,1842.03
117,Invens note Tk01 ,invens,2,1,otro,0,4,96,1842.07
29,White Shark A60 Black,white shark,5,1,negro,0,4,64,1999
31,White Shark I16 Pro,white shark,5,1,blanco,0,4,64,1999
48,White Shark A60 ,white shark,5,1,blanco,0,4,64,1999
58,Samsung Galaxy A05 ,samsung,26,1,negro,0,4,128,1999
75,Motorola E15  ,motorola,24,0,azul,0,2,64,1999
131,White Shark ss25 ,white shark,5,1,blanco,0,8,128,1999
149,Zte Blade A56 ,zte,4,0,dorado,0,12,128,1999
183,Motorola E15  ,motorola,24,0,morado,0,2,64,1999
208,Intel A50 A667l ,intel,1,1,amarillo,0,2,64,1999
230,Ssjsj   ,sjsj,14,0,morado,0,2,16,2029.5
235,Ssjsj   ,sjsj,14,0,negro,0,2,16,2029.5
119,Samsung Galaxy A06 64,samsung,26,0,azul,0,4,64,2079
121,Xiaomi Poco C71 ,xiaomi,49,1,azul,0,4,128,2085
102,Moto G05 4 ,motorola,24,0,rojo,0,4,64,2099
85,Vivo X25 Ultra ,vivo,5,0,black),0,8,128,2113.7
320,Realme Note 70T ,realme,58,0,dorado,0,4,64,2120.42
46,Xiaomi Poco C71 ,xiaomi,49,1,negro,0,4,128,2185
290,Realme Note 60 ,realme,58,1,negro,0,6,128,2196.8
104,Vivo X25 Ultra ,vivo,5,0,dorado,0,8,128,2205.6
229,Ssjsj   ,sjsj,14,0,morado,0,2,16,2214
28,Samsung Galaxy A05s ,samsung,26,0,negro,0,4,128,2288
322,Realme Note 60 128,realme,58,0,azul,0,8,128,2300
236,Sjsj Ssjsj Mobile ,sjsj,14,0,otro,0,8,8,2366.21
214,Nubia V70  ,nubia,6,0,gris,0,6,128,2388.66
165,Honor X5b 4 ,honor,22,1,azul,0,4,128,2399
239,Honor X5b 4 ,honor,22,1,morado,0,4,128,2499
141,Cubot A40  ,cubot,14,0,morado,0,4,256,2520.45
186,OscalÂ® Tiger Lite ,oscalâ®,1,1,otro,0,24,256,2533.12
243,Note13 Pro+ ,note,1,0,negro,0,2,16,2535.53
303,Realme C21y Unisoc ,realme,58,0,azul,0,4,64,2599
45,Samsung Galaxy A16 ,samsung,26,1,verde,1,6,128,2699
60,ZTE Focus  ,zte,4,0,negro,0,4,256,2699
264,Pava 6 pro   ,pava,1,0,otro,1,16,512,2704.36
192,Realme Note 70T ,realme,58,1,otro,0,4,128,2726.16
118,Samsung Galaxy A16 ,samsung,26,0,gris,1,4,128,2805
152,Motorola Moto ,motorola,24,1,negro,1,8,128,2815.82
26,Pocophone Poco M5s ,xiaomi,49,1,gris,0,8,256,2846.25
147,Vivo V30 Lite ,vivo,5,0,dorado,1,12,256,2890.6
238,Cubot A10  ,cubot,14,0,morado,0,4,128,2901.52
18,Zte Blade V70 ,zte,4,0,verde,0,14,256,2905.14
181,Infinix Hot 50i 256,infinix,11,1,negro,0,4,256,2932
173,Hotwav Note 15 ,hotwav,2,0,otro,0,8,64,2945.6
231,Ssjsj   ,sjsj,14,0,morado,0,2,16,2968.79
232,Ssjsj S25ultra  ,sjsj,14,0,blanco,0,2,16,2968.79
233,Ssjsj 13promax  ,sjsj,14,0,negro,0,2,16,2968.79
224,Ssjsj 15promax  ,sjsj,14,0,dorado,0,3,64,2968.97
225,Ssjsj 14promax  ,sjsj,14,0,blanco,0,2,16,2968.97
226,Ssjsj 14promax  ,sjsj,14,0,negro,0,3,64,2968.97
227,Ssjsj 13promax  ,sjsj,14,0,morado,0,3,64,2968.97
234,Ssjsj   ,sjsj,14,0,verde,0,3,32,2969.34
25,Motorola Moto G15 ,motorola,24,0,gris,0,4,256,2999
73,Motorola G15  ,motorola,24,0,gris,0,4,256,2999
108,White Shark S25ultra+ ,white shark,5,1,blanco,0,16,512,2999
194,Xiaomi Redmi 15c 4+128,xiaomi,49,0,negro,0,4,128,2999
197,Xiaomi Redmi 15c ,xiaomi,49,0,azul,0,8,256,2999
293,Realme C61  ,realme,58,0,verde,0,4,256,2999
159,Xiaomi Pocophone Poco C75,xiaomi,49,1,negro,0,6,128,3003.66
70,Infinix Hot 60i ,infinix,11,0,rojo,0,8,256,3010
203,Motorola Moto G54 ,motorola,24,1,otro,1,8,128,3017.4
98,Xiaomi Pocophone Poco M7,xiaomi,49,1,azul,0,6,128,3018.18
298,Realme Note 70T ,realme,58,0,negro,0,4,128,3131.96
87,Itel S26 Ultra ,itel,1,1,otro,0,16,256,3198.12
188,Xiaomi Redmi Note 14,xiaomi,49,1,verde,0,6,128,3199
92,Xiaomi Pocophone Xiaomi Poco,xiaomi,49,1,negro,0,8,256,3299
317,Realme 10  ,realme,58,0,negro,0,8,128,3299
133,Xiaomi Pocophone Poco ,xiaomi,49,1,morado,0,8,256,3333
67,Honor Play 9s ,honor,22,1,negro,0,8,256,3390
68,X-tigi Bison1 Kingkong ,x-tigi,1,1,negro,0,6,64,3398.5
301,Realme C65  ,realme,58,0,dorado,0,6,128,3455.11
38,Motorola Moto G34 ,motorola,24,1,azul,1,8,256,3471.61
49,Moto G34  ,motorola,24,1,negro,1,8,256,3471.61
51,Xiaomi Poco M7 ,xiaomi,49,1,plata,0,8,256,3482.27
20,Realme C75  ,realme,58,0,negro,0,8,256,3499
281,Realme C75  ,realme,58,1,negro,0,8,256,3499
284,Realme C63  ,realme,58,0,azul,0,8,256,3499
321,Realme Note 50 128,realme,58,0,azul,0,8,128,3500
172,Cubot King Kong Power,cubot,14,1,negro,0,6,256,3556.81
122,Hotwav Note 16 Pro,hotwav,2,0,otro,0,12,128,3558.13
307,Realme 9  ,realme,58,0,blanco,0,8,128,3559
86,Oppo A40 128 ,oppo,6,0,morado,0,4,128,3599
1,Poco M6  ,xiaomi,49,1,plata,0,8,256,3637.4
124,Cubot Kingkong Es ,cubot,14,1,negro,0,6,128,3650.78
95,INVENS Ultra 13P ,invens,2,1,otro,0,16,128,3675.82
304,Realme P3 Lite ,realme,58,0,otro,0,8,256,3684
259,Gt10pro   ,gt10pro,1,1,plata,0,16,512,3688
94,Realme P3 Lite ,realme,58,0,otro,0,8,256,3706
76,Moto55 Moto g55 ,motorola,24,1,negro,0,8,256,3714.41
125,Cubot Kingkong Es ,cubot,14,1,negro,0,6,256,3799.21
156,Xiaomi Redmi A5 4g,xiaomi,49,0,negro,0,4,128,3829
206,Nubia Music 2 ,nubia,6,0,otro,0,8,256,3832
241,Cubot Kingkong Ace2 ,cubot,14,1,verde,0,6,128,3855.71
204,Samsung Galaxy S20 ,samsung,26,0,negro,1,12,128,3919
144,Honor X6c 4g 6,honor,22,0,negro,0,6,128,3999
145,Honor X6c 4g 6,honor,22,0,azul,0,6,128,3999
171,Honor X6b 4g 256,honor,22,0,morado,0,6,256,3999
100,Xiaomi Pocophone Poco M7,xiaomi,49,1,morado,0,8,256,4170.79
128,Honor X8b  ,honor,22,0,azul,0,8,512,4185
295,Realme Note  ,realme,58,0,negro,0,4,128,4198.92
140,Cubot P90  ,cubot,14,0,morado,0,12,256,4206.87
175,Samsung Galaxy A16 ,samsung,26,0,negro,0,8,256,4234.12
228,Ssjsj   ,sjsj,14,0,negro,0,3,64,4243.68
88,Cubot King Kong 8,cubot,14,1,negro,0,6,256,4284.29
30,Samsung Galaxy A16 ,samsung,26,1,negro,1,6,128,4286
15,Honor X8b  ,honor,22,0,plata,1,8,512,4299
308,Realme C67  ,realme,58,0,negro,0,16,256,4300
223,F150 B2 PRO ,f150,1,1,negro,0,12,256,4345.31
146,Vivo Y19s  ,vivo,5,0,plata,0,8,256,4377
167,Xiaomi Pocophone Xiaomi Poco,xiaomi,49,1,negro,0,6,128,4379
313,Realme C71 4 ,realme,58,0,otro,0,4,256,4469
59,Moto G15 128 ,motorola,24,0,gris,0,4,128,4489
66,Motorola Moto G15 ,motorola,24,0,Naranja,0,4,128,4489
148,Blackview Wave 8 ,blackview,3,1,otro,0,4,128,4499
84,Samsung Galaxy A35 ,samsung,26,0,azul,1,6,128,4616
61,Motorola Moto G15 ,motorola,24,0,verde,0,4,256,4626
177,Cubot X100  ,cubot,14,1,negro,1,8,256,4639.69
202,Realme Note 70 ,realme,58,1,otro,0,4,256,4799
300,Realme Note 70 ,realme,58,1,otro,0,16,256,4799
136,Motorola Moto S50 ,motorola,24,0,gris,1,12,256,4886.69
114,Xiaomi Redmi Note 14,xiaomi,49,1,negro,0,8,256,4899.02
280,Realme LINHA C C63,realme,58,1,verde,0,8,256,4899.02
81,Cmf by Nothing Phone,nothing phone,1,1,negro,0,8,256,4921.24
39,Samsung Galaxy A16 ,samsung,26,0,gris,0,4,128,4949
151,Samsung Galaxy A16 ,samsung,26,0,negro,0,4,128,4949
220,Nubia Neo  ,nubia,6,0,negro,1,8,256,4961.86
193,Realme C71  ,realme,58,0,otro,0,8,256,4989
24,Xiaomi Redmi 13x ,xiaomi,49,1,negro,0,8,512,4999
44,Xiaomi Redmi 13x 256,xiaomi,49,1,azul,0,8,256,4999
55,Honor X7c  ,honor,22,0,negro,0,8,256,4999
63,Tecno Pova 6 ,tecno,4,0,verde,0,8,256,4999
64,Moto G35  ,motorola,24,0,negro,0,4,256,4999
89,Xiaomi Redmi Note 14,xiaomi,49,1,azul,0,8,256,4999
90,Xiaomi Pocophone Poco X7,xiaomi,49,0,negro,0,8,256,4999
103,Vivo Y19s 256 ,vivo,5,0,plata,0,8,256,4999
132,Honor X7c  ,honor,22,0,verde,0,8,256,4999
138,ZTE Axon 70 ,zte,4,0,verde,0,6,256,4999
161,Xiaomi Pocophone Poco X7,xiaomi,49,0,verde,0,8,256,4999
190,Huawei Nova 10 SE,huawei,1,0,verde,0,8,256,4999
256,Tecno Pova 6 Pro,tecno,4,1,gris,1,8,256,5092.2
246,Ssjsj S25ultra  ,sjsj,14,0,azul,0,8,128,5221.42
191,Doogee Note 59 ,doogee,12,0,otro,1,32,128,5476.08
221,Oukitel C61 Pro ,oukitel,1,0,morado,0,24,256,5476.69
101,Xiaomi Poco F6 ,xiaomi,49,0,verde,0,8,256,5482.39
16,Samsung Galaxy M35 ,samsung,26,0,azul,1,6,128,5499
111,Samsung Galaxy A17 ,samsung,26,1,negro,1,8,256,5499
267,Xiaomi Redmi K50 Gaming,xiaomi,49,1,negro,0,12,256,5499
27,Motorola Moto G75 ,motorola,24,1,negro,1,8,256,5506.28
270,Doogee Blade 20 ,doogee,12,0,otro,0,4,128,5507.4
