ID,LOTE,constr.,bathroom,estac.,rec.,antiguedad,medio bathroom,ZONA,CIUDAD,PROVINCIA,PAIS,tipo_operacion,tipo_inmueble,precio_venta,precio_alquiler
EB-UQ4906,120,120,1,1,2,52,0,Moderna,Guadalajara,Jalisco,Mexico,renta,Casa,0,15500
62CCK8,1064,670,0,10,4,10,1,Providencia,Guadalajara,Jalisco,Mexico,venta / renta,Casa,43900000,195000
599757--618,80,104,0,2,2,A estrenar,0,Terralta,Guadalajara,Jalisco,Mexico,renta,Casa,0,15600
61FCQ3,356,360,1,3,6,5,0,Americana,Guadalajara,Jalisco,Mexico,venta / renta,Casa,18900000,125000
60MCM2,429,380,0,1,10,86,0,Americana,Guadalajara,Jalisco,Mexico,renta,Casa,0,57000
EB-UL6840,1289,546,0,0,9,20,0,Fraccionamiento Colinas de San Javier,Guadalajara,Jalisco,Mexico,renta,Casa,0,120000
62HJIK,719,719,0,5,12,30,0,Arcos Vallarta,Guadalajara,Jalisco,Mexico,renta,Casa,0,110000
EB-UG9215,90,130,0,1,4,5,0,Providencia,Guadalajara,Jalisco,Mexico,renta,Casa,0,30000
62PJ5N,320,600,0,0,9,10,0,Guadalajara Centro,Guadalajara,Jalisco,Mexico,renta,Casa,0,39000
EB-UN1812,358,448,0,4,11,46,1,Arcos Vallarta,Guadalajara,Jalisco,Mexico,renta,Casa,0,57000
IC0134,183,140,0,4,9,4,1,Americana,Guadalajara,Jalisco,Mexico,renta,Casa,0,35000
6309BH,579,340,0,0,11,50,1,Guadalajara Centro,Guadalajara,Jalisco,Mexico,renta,Casa,0,85000
62MH72,500,600,0,5,3,En construcciÃ³n,1,Fraccionamiento Colinas de San Javier,Guadalajara,Jalisco,Mexico,renta,Casa,0,63000
61TA2Q,600,700,0,2,9,A estrenar,1,Providencia,Guadalajara,Jalisco,Mexico,renta,Casa,0,95000
5S36FH,200,200,0,2,3,2,0,Chapalita,Guadalajara,Jalisco,Mexico,renta,Casa,0,26000
61H898,1610,950,0,5,3,30,0,Lomas del Valle,Guadalajara,Jalisco,Mexico,renta,Casa,0,165000
62IKLT,350,550,0,4,5,15,0,Jardines del Bosque,Guadalajara,Jalisco,Mexico,renta,Casa,0,45000
62TC66,350,350,0,2,4,15,1,Prados de Providencia,Guadalajara,Jalisco,Mexico,renta,Casa,0,35000
61KJ3O,535,411,0,5,3,0,1,Lafayette,Guadalajara,Jalisco,Mexico,renta,Casa,0,110000
11,601,455,1,2,0,22,0,Americana,Guadalajara,Jalisco,Mexico,venta / renta,Casa,30000000,150000
Casa TerÃ¡n,286,250,0,0,4,40,0,Barrio Santa Teresita,Guadalajara,Jalisco,Mexico,renta,Casa,0,25520
Casa Justo Sierra,706,628,0,7,5,15,0,Arcos Vallarta,Guadalajara,Jalisco,Mexico,venta / renta,Casa,25000000,95000
5SKE0J,9,9,1,0,1,30,0,Ayuntamiento,Guadalajara,Jalisco,Mexico,renta,Casa,0,8000
530592--530,101,171,0,2,2,10,1,Fraccionamiento Chapultepec Country,Guadalajara,Jalisco,Mexico,renta,Casa,0,23000
62CMQ7,260,320,0,3,4,A estrenar,1,Country Club,Guadalajara,Jalisco,Mexico,renta,Casa,0,36000
61HE6D,409,560,0,4,6,30,0,Providencia,Guadalajara,Jalisco,Mexico,renta,Casa,0,75000
5QD3NI,151,144,0,1,4,40,1,Barrio Santa Teresita,Guadalajara,Jalisco,Mexico,renta,Casa,0,19000
62APSC,150,200,0,0,4,45,1,Barrio Santa Teresita,Guadalajara,Jalisco,Mexico,renta,Casa,0,19000
62S07K,1060,670,0,11,4,7,1,Providencia,Guadalajara,Jalisco,Mexico,venta / renta,Casa,43900000,195000
Casa Justo Sierra,706,628,0,7,5,15,0,Arcos Vallarta,Guadalajara,Jalisco,Mexico,venta / renta,Casa,25000000,95000
61S797,0,250,0,3,4,20,1,Providencia,Guadalajara,Jalisco,Mexico,renta,Casa,0,38000
530592--530,101,171,0,2,2,10,1,Fraccionamiento Chapultepec Country,Guadalajara,Jalisco,Mexico,renta,Casa,0,23000
62TADA,161,175,0,2,3,27,0,Fraccionamiento Jardines Alcalde,Guadalajara,Jalisco,Mexico,renta,Casa,0,19500
Casa TerÃ¡n,286,250,0,0,4,40,0,Barrio Santa Teresita,Guadalajara,Jalisco,Mexico,renta,Casa,0,25520
11,601,455,1,2,0,22,0,Americana,Guadalajara,Jalisco,Mexico,venta / renta,Casa,30000000,150000
62APSC,150,200,0,0,4,45,1,Barrio Santa Teresita,Guadalajara,Jalisco,Mexico,renta,Casa,0,19000
EB-US6245,686,528,0,10,9,63,0,Arcos Vallarta,Guadalajara,Jalisco,Mexico,venta / renta,Casa,40000000,118000
6245G2,400,380,0,3,4,30,1,LadrÃ³n de Guevara,Guadalajara,Jalisco,Mexico,renta,Casa,0,49000
CYNTHIA TELLEZ,1500,1999,0,18,12,40,0,Guadalajara Centro,Guadalajara,Jalisco,Mexico,renta,Casa,0,110000
EB-UG9220,240,185,0,1,3,55,0,Providencia,Guadalajara,Jalisco,Mexico,renta,Casa,0,40000
EB-UC4004,240,350,0,1,7,56,0,Providencia,Guadalajara,Jalisco,Mexico,renta,Casa,0,65000
594716--156,76,116,0,1,3,30,1,Lagos de Oriente,Guadalajara,Jalisco,Mexico,renta,Casa,0,12500
PHO5977970,1168,1350,0,4,3,40,1,Fraccionamiento Jardines del Country,Guadalajara,Jalisco,Mexico,renta,Casa,0,220000
404988--311,231,296,0,3,6,49,0,Vallarta Poniente,Guadalajara,Jalisco,Mexico,renta,Casa,0,30000
35POC2,380,500,0,5,4,33,0,Fraccionamiento Terranova,Guadalajara,Jalisco,Mexico,renta,Casa,0,45000
NX-259861,889,1084,0,8,10,45,0,Prados de Providencia,Guadalajara,Jalisco,Mexico,renta,Casa,0,130000
