ID,LOTE,constr.,bathroom,estac.,rec.,antiguedad,medio bathroom,ZONA,CIUDAD,PROVINCIA,PAIS,tipo_operacion,tipo_inmueble,precio_venta,precio_alquiler,
62RTQ0,0,0,0,0,0,0,0,Jardines El Sauz,Guadalajara,Jalisco,Mexico,,Desarrollo horizontal,0,0,
6126PJ,322,447,0,3,5,20,0,Bosques de La Victoria,Guadalajara,Jalisco,Mexico,venta,Casa,14200000,0,
54121381948,55,130,1,0,2,35,1,Barrio Santa Teresita,Guadalajara,Jalisco,Mexico,venta,Casa,2890000,0,
RCV-2217,350,545,0,1,10,39,1,Fraccionamiento Lomas Del Country,Guadalajara,Jalisco,Mexico,venta,Casa,13570000,0,
62CCK8,1064,670,0,10,4,10,1,Providencia,Guadalajara,Jalisco,Mexico,venta / renta,Casa,43900000,195000,
VOF6139124,242,272,0,1,3,30,1,Providencia,Guadalajara,Jalisco,Mexico,venta,Casa,11500000,0,
EB-SD4213,120,394,0,5,4,5,0,Jardines de La Paz,Guadalajara,Jalisco,Mexico,venta,Casa,7390000,0,
5TS5AE,700,678,0,6,5,35,1,Lomas de Guevara,Guadalajara,Jalisco,Mexico,venta,Casa,26800000,0,
62HE8I,1423,550,0,15,4,25,0,Guadalajara,Jalisco,Mexico,venta,Casa,9800000,0,,
CCV-2144,592,828,0,2,8,77,1,Americana,Guadalajara,Jalisco,Mexico,venta,Casa,13480000,0,
RCV-2212,311,427,0,3,8,45,0,Lomas Del Paradero,Guadalajara,Jalisco,Mexico,venta,Casa,6950000,0,
RCV-2189,69,130,1,1,4,30,1,Atlas,Guadalajara,Jalisco,Mexico,venta,Casa,3500000,0,
RCV-2203,165,197,0,0,4,39,0,Barrio Santa Teresita,Guadalajara,Jalisco,Mexico,venta,Casa,5300000,0,
VHO6693088,790,260,0,4,4,23,1,Fraccionamiento Jardines de Santa Isabel,Guadalajara,Jalisco,Mexico,venta,Casa,24400000,0,
RCV-2216,411,607,0,2,6,40,1,Fraccionamiento Lomas Del Country,Guadalajara,Jalisco,Mexico,venta,Casa,16596000,0,
VHO7051889,687,577,0,5,3,2,0,Country Club,Guadalajara,Jalisco,Mexico,venta,Casa,30120000,0,
1,1085,840,0,10,4,12,1,Guadalajara,Jalisco,Mexico,venta,Casa,25000000,0,,
RCV-2230,120,160,0,1,6,58,0,Atlas,Guadalajara,Jalisco,Mexico,venta,Casa,2790000,0,
EB-TX1747,120,202,0,1,4,51,0,Moderna,Guadalajara,Jalisco,Mexico,venta,Casa,4050000,0,
629D7R,350,730,0,4,8,10,0,Fraccionamiento Circunvalación Vallarta,Guadalajara,Jalisco,Mexico,venta,Casa,13300000,0,
630MCJ,61,117,0,1,3,A estrenar,0,El Dean,Guadalajara,Jalisco,Mexico,venta,Casa,3499000,0,
RCV-2210,579,569,0,4,7,39,0,Jardines del Bosque,Guadalajara,Jalisco,Mexico,venta,Casa,16950000,0,
EB-UG4871,626,510,0,8,11,35,1,Americana,Guadalajara,Jalisco,Mexico,venta,Casa,19500000,0,
5RH2FI,448,172,0,0,0,A estrenar,0,Mezquitan Country,Guadalajara,Jalisco,Mexico,venta,Casa,7200000,0,
62HDMA,152,185,0,1,3,A estrenar,0,Fraccionamiento Jardines Alcalde,Guadalajara,Jalisco,Mexico,venta,Casa,6000000,0,
62F0IF,250,404,0,3,5,30,0,Providencia,Guadalajara,Jalisco,Mexico,venta,Casa,13950000,0,
